country,Ping Time,Ping in,server,sstp_link
United States,4,531.3,vpn431396938.opengw.net,"<a href=""vpn431396938.opengw.net"">vpn431396938.opengw.net</a>"
Korea Republic of,23,550.97,vpn260095853.opengw.net,"<a href=""vpn260095853.opengw.net:1323"">vpn260095853.opengw.net:1323</a>"
Korea Republic of,39,562.13,vpn961061539.opengw.net,"<a href=""vpn961061539.opengw.net:1386"">vpn961061539.opengw.net:1386</a>"
Japan,9,593.74,public-vpn-137.opengw.net,"<a href=""public-vpn-137.opengw.net"">public-vpn-137.opengw.net</a>"
Korea Republic of,36,595.17,vpn570478314.opengw.net,"<a href=""vpn570478314.opengw.net:1900"">vpn570478314.opengw.net:1900</a>"
Korea Republic of,37,603.2,vpn313927407.opengw.net,"<a href=""vpn313927407.opengw.net:1880"">vpn313927407.opengw.net:1880</a>"
Korea Republic of,33,640.62,vpn569145029.opengw.net,"<a href=""vpn569145029.opengw.net:1757"">vpn569145029.opengw.net:1757</a>"
Korea Republic of,39,669.73,vpn238231736.opengw.net,"<a href=""vpn238231736.opengw.net:1433"">vpn238231736.opengw.net:1433</a>"
Korea Republic of,28,725.39,vpn229084364.opengw.net,"<a href=""vpn229084364.opengw.net:1471"">vpn229084364.opengw.net:1471</a>"
Korea Republic of,36,764.51,vpn444090702.opengw.net,"<a href=""vpn444090702.opengw.net:1679"">vpn444090702.opengw.net:1679</a>"
Korea Republic of,30,883.15,vpn506879041.opengw.net,"<a href=""vpn506879041.opengw.net:1885"">vpn506879041.opengw.net:1885</a>"
Korea Republic of,36,2125.19,vpn708099179.opengw.net,"<a href=""vpn708099179.opengw.net:1248"">vpn708099179.opengw.net:1248</a>"
Korea Republic of,41,20000.0,vpn517387506.opengw.net,"<a href=""vpn517387506.opengw.net:995"">vpn517387506.opengw.net:995</a>"
Japan,51,20000.0,vpn250651976.opengw.net,"<a href=""vpn250651976.opengw.net:1915"">vpn250651976.opengw.net:1915</a>"
Japan,3,20000.0,vpn975021315.opengw.net,"<a href=""vpn975021315.opengw.net:1700"">vpn975021315.opengw.net:1700</a>"
Korea Republic of,36,20000.0,vpn668738551.opengw.net,"<a href=""vpn668738551.opengw.net:995"">vpn668738551.opengw.net:995</a>"
Korea Republic of,45,20000.0,vpn333627903.opengw.net,"<a href=""vpn333627903.opengw.net:1798"">vpn333627903.opengw.net:1798</a>"
Japan,4,20000.0,vpn418133234.opengw.net,"<a href=""vpn418133234.opengw.net:1477"">vpn418133234.opengw.net:1477</a>"
Japan,4,20000.0,vpn338879782.opengw.net,"<a href=""vpn338879782.opengw.net:1582"">vpn338879782.opengw.net:1582</a>"
Korea Republic of,37,20000.0,vpn905373738.opengw.net,"<a href=""vpn905373738.opengw.net:995"">vpn905373738.opengw.net:995</a>"
Japan,37,20000.0,vpn970377213.opengw.net,"<a href=""vpn970377213.opengw.net:1786"">vpn970377213.opengw.net:1786</a>"
Japan,5,20000.0,vpn564480210.opengw.net,"<a href=""vpn564480210.opengw.net:1758"">vpn564480210.opengw.net:1758</a>"
Japan,8,20000.0,vpn407631835.opengw.net,"<a href=""vpn407631835.opengw.net:1738"">vpn407631835.opengw.net:1738</a>"
Japan,6,20000.0,vpn344799703.opengw.net,"<a href=""vpn344799703.opengw.net:1958"">vpn344799703.opengw.net:1958</a>"
Korea Republic of,37,20000.0,vpn525170052.opengw.net,"<a href=""vpn525170052.opengw.net:995"">vpn525170052.opengw.net:995</a>"
Korea Republic of,22,20000.0,vpn670224310.opengw.net,"<a href=""vpn670224310.opengw.net:995"">vpn670224310.opengw.net:995</a>"
Japan,9,20000.0,vpn777300033.opengw.net,"<a href=""vpn777300033.opengw.net:1304"">vpn777300033.opengw.net:1304</a>"
Korea Republic of,33,20000.0,vpn974780296.opengw.net,"<a href=""vpn974780296.opengw.net:995"">vpn974780296.opengw.net:995</a>"
Japan,22,20000.0,vpn963591133.opengw.net,"<a href=""vpn963591133.opengw.net:1989"">vpn963591133.opengw.net:1989</a>"
Korea Republic of,26,20000.0,vpn803430962.opengw.net,"<a href=""vpn803430962.opengw.net:995"">vpn803430962.opengw.net:995</a>"
Japan,21,20000.0,vpn528491249.opengw.net,"<a href=""vpn528491249.opengw.net:1718"">vpn528491249.opengw.net:1718</a>"
Korea Republic of,28,20000.0,vpn523238398.opengw.net,"<a href=""vpn523238398.opengw.net:995"">vpn523238398.opengw.net:995</a>"
Korea Republic of,28,20000.0,vpn183869612.opengw.net,"<a href=""vpn183869612.opengw.net:995"">vpn183869612.opengw.net:995</a>"
Viet Nam,19,20000.0,vpn929479800.opengw.net,"<a href=""vpn929479800.opengw.net:995"">vpn929479800.opengw.net:995</a>"
Korea Republic of,29,20000.0,vpn341878616.opengw.net,"<a href=""vpn341878616.opengw.net:995"">vpn341878616.opengw.net:995</a>"
Korea Republic of,29,20000.0,vpn570433676.opengw.net,"<a href=""vpn570433676.opengw.net:995"">vpn570433676.opengw.net:995</a>"
Korea Republic of,30,20000.0,vpn224919873.opengw.net,"<a href=""vpn224919873.opengw.net:995"">vpn224919873.opengw.net:995</a>"
Japan,13,20000.0,vpn153950346.opengw.net,"<a href=""vpn153950346.opengw.net:1311"">vpn153950346.opengw.net:1311</a>"
Korea Republic of,30,20000.0,vpn796550827.opengw.net,"<a href=""vpn796550827.opengw.net:1890"">vpn796550827.opengw.net:1890</a>"
Korea Republic of,31,20000.0,vpn323493398.opengw.net,"<a href=""vpn323493398.opengw.net:995"">vpn323493398.opengw.net:995</a>"
China,31,20000.0,vpn816168160.opengw.net,"<a href=""vpn816168160.opengw.net:992"">vpn816168160.opengw.net:992</a>"
United States,10,20000.0,vpn512785343.opengw.net,"<a href=""vpn512785343.opengw.net"">vpn512785343.opengw.net</a>"
Japan,10,20000.0,vpn737946404.opengw.net,"<a href=""vpn737946404.opengw.net:1421"">vpn737946404.opengw.net:1421</a>"
Korea Republic of,32,20000.0,vpn950297425.opengw.net,"<a href=""vpn950297425.opengw.net:1493"">vpn950297425.opengw.net:1493</a>"
Korea Republic of,32,20000.0,vpn543687977.opengw.net,"<a href=""vpn543687977.opengw.net:995"">vpn543687977.opengw.net:995</a>"
Korea Republic of,32,20000.0,vpn765228092.opengw.net,"<a href=""vpn765228092.opengw.net:995"">vpn765228092.opengw.net:995</a>"
Japan,22,20000.0,vpn811676219.opengw.net,"<a href=""vpn811676219.opengw.net:1968"">vpn811676219.opengw.net:1968</a>"
Korea Republic of,36,20000.0,vpn511313848.opengw.net,"<a href=""vpn511313848.opengw.net:995"">vpn511313848.opengw.net:995</a>"
United States,1,20000.0,vpn397506869.opengw.net,"<a href=""vpn397506869.opengw.net"">vpn397506869.opengw.net</a>"
